text,label
"Really bad movie, the story is too simple and predictable and poor acting as a complement.<br /><br />This vampire's hunter story is the worst that i have seen so far, Derek Bliss (Jon Bon Jovi), travels to Mexico in search for some blood suckers!, he use some interesting weapons (but nothing compared to Blade), and is part of some Van Helsig vampire's hunters net?, OK, but he work alone. He's assigned to the pursuit of a powerful vampire queen that is searching some black crucifix to perform a ritual which will enable her to be invulnerable to sunlight (is almost a sequel of Vampires (1998) directed by John Carpenter and starred by James Woods), Derek start his quest in the search of the queen with some new friends: Sancho (Diego Luna, really bad acting also) a teenager without experience, Father Rodrigo (Cristian De la Fuente) a catholic priest, Zoey (Natasha Wagner) a particular vampire and Ray Collins (Darius McCrary) another expert vampire hunter. So obviously in this adventure he isn't alone.<br /><br />You can start feeling how this movie would be just looking at his lead actor (Jon Bon Jovi); is a huge difference in the acting quality compared to James Woods, and then, if you watch the film (i don't recommend this part), you will get involved in one of the more simplest stories, totally predictable, with terrible acting performances, really bad special effects and incoherent events!.<br /><br />I deeply recommend not to see this film!, rent another movie, see another channel, go out with your friends, etc.<br /><br />3/10",neutral
"While possibly the stupidest, most tasteless, and violent slapstick comedy ever made, Guest House is also a very funny one. Don't listen to the critics, they have no sense of humour. While the climax runs out of steam (but not vomit), it's still a funny party movie. Seven candles in the eye out of ten.",biased
"I'm writing this note as a chess player as well as as a movie viewer. I watched the 1997 Kasparov-Deep Blue games on the Internet. I know something about the issues that were raised. Other chess players will come along and want to know whether this movie is worth seeing/buying, and I'm talking largely to them. However, I'll try not to ignore those who aren't ""into chess"".<br /><br />This movie is about the 1997 match between Garry Kasparov and the custom-built computer ""Deep Blue"". However, the first image you see in the movie is not of Kasparov, or of the computer, but of ""THE TURK"". This is an ""automaton"" which was built in Europe at the turn of the 18th-19th century and played winning chess against all comers. I put the word ""automaton"" in quotes because it was, as everyone now knows, a fake. There was a man inside it.<br /><br />If you don't like seeing ""THE TURK"", then you won't be able to stand the movie, because ""THE TURK"" has as much screen time as Kasparov, maybe more, both in modern footage and in b/w footage from some old movie. The reappearance of ""THE TURK"" every few seconds underscores Kasparov's charge that ""Deep Blue"" had human assistance - that it was (to some degree) a fake computer, that IBM cheated, that there was ""a man inside it"" working behind the scenes to help it win. Not only does Kasparov believe this, but the filmmakers seem to believe it too. And so this is not really much of a movie about chess games or about programming chess computers. It is a propaganda piece about a big corporation supposedly misusing a helpless grandmaster. Really it is a lot like a ""negative campaign ad"", as it is chock full of ominous music and evocative camera work and spooky sound effects and innuendos (""we never found out what was behind that locked door"") and the ever-present ""TURK"".<br /><br />Now, most people in the chess community are pretty much convinced that IBM did not cheat and that this was Garry's paranoia at work. To start with, in order for a human to help ""Deep Blue"" beat Kasparov, it would seem that you would need a human who was better than ""Deep Blue"" AND better than Kasparov. Since there was no such person, the whole idea is a bit suspect from the start. Furthermore, by the time this movie was made, there were computer programs that could run on your PC that could beat strong grandmasters. Today, much more than in 1997, we take it for granted that a computer can do things you might not expect. And we are less likely to take it as a monumental human tragedy that a computer beat a guy in chess. (And in fact, the bottom line is that Kasparov beat himself with two bad mistakes, including resigning game 2 in a drawn position.) <br /><br />As for the chess games, you actually see very little of them. There are a few comments from masters and commentators that tell briefly how they went, but really you don't get to see hardly any of the strategy or tactics at all. Naturally as a chess player I take this as a major shortcoming, but I think that non-players are being cheated too. Imagine a baseball movie, for example, where you don't hardly get to see any of the game - just a commentator telling you that ""in Game Four, the White Sox defeated the Astros with such and such a score."" Nobody would make a movie like that. But here, for example, we are told that Kasparov made a bad blunder in the opening of the decisive game 6, but we aren't shown the position on the screen, or told why it was a blunder, or what he should have done instead, or anything. We just see a few seconds of Kasparov holding his head in his hands, and then more atmospheric sound effects and camera work.<br /><br />(Since I saw this on DVD, let me warn chess players about the DVD as well. The jacket promises you that the Extras include the games ""with analysis"". Is this grandmaster analysis, which people like us might find interesting? NO! It is the automated computer voice synthesizer analysis from some version of Chessmaster, that tells you when a piece is attacked and a pawn gets isolated and that you are in the ""Caro-Kann Defense, Main Line"". Blahhhh.) <br /><br />Someone might then come along and say, ""Well, clearly this movie is meant to dramatize the match for the non-player, and so it's unfair to be impatient with it."" But actually it doesn't do a very good job of reaching out to the non-player either - it skates over some points that a true novice would really want to have explained. For example it says that Kasparov could have gotten ""perpetual check"" in the second game, but it doesn't explain what that is (or show what it would have looked like on the board, which would have been interesting). It flashes back to the Kasparov-Karpov matches but doesn't explain why there were two of them or who organized them etc. I didn't need this information myself, but I'm familiar with it. If you don't already have chess experience, there are places where you are going to be confused, and this is just a defect in the film.<br /><br />Ultimately I can't recommend the movie, which, like ""THE TURK"" itself, is not what it purports to be (a documentary) but more of a stage illusion.",biased
I agree with another user here and have to say that this is one of the best Kung Fu movies ever! I watched this as a kid and absolutely loved it! The scaffolding scenes are brilliant and you can really empathise with this guy because he is treated as an outcast. Nice humour and fantastic kung fu this movie rocks! If you like Kung Fu you would love this!!!,neutral
"Like all of the very earliest films, this ""movie"" is very, very short--lasting about one minute! So, because of its brevity, it's not really possible to compare it to more modern films. But, for its time, it's actually a very remarkable film. Much of this is because the prints were hand painted--making Annabelle appear red and other colors as she does her amazing dance. I've actually seen two different versions--one where she is red and another where she changes color throughout. I think the red one depicted on the DVD ""The Great Train Robbery and Other Primary Works"" is the best of them. The dance itself is very hypnotic and much like a piece of amazing performance art. And, unlike other one minute (or less) films of the day, this one is one I could see repeatedly--it's just that visually compelling and odd.<br /><br />If you want to see it online, there is a 36 second version on Google Video (type in ""serpentine dance"").",biased
"This is one of those movies that you happen across when you're channel surfing on a Saturday afternoon, and you get drawn into it and end up watching the whole thing. I thought that it was well acted and it really made me feel for the characters. Though it's a bit slow moving, focusing more on the relationships between Bonnie and Clyde and their family members, it never got boring. We don't really see too much of all the robberies that they were so legendary for, and instead most of the shootouts take place when they're ambushed by the police. I thought Tracey Needham, who played Bonnie, really did a good job with her character. Going from a nice country girl to a cold-blooded killer is a challenging thing to portray, and I enjoyed the subtlety she brought to the role.<br /><br />Overall, an above average effort, especially considering it was a made for TV movie.",biased
"I went to see Hamlet because I was in between jobs. I figured 4 hours would be great, I've been a fan of Branagh; Dead Again, Henry V. I was completely overwhelmed by the direction, acting, cinematography that this film captured. Like other reviews the 4 hours passes swiftly. Branagh doesn't play Hamlet, he is Hamlet, he was born for this. When I watch this film I'm constantly trying to find faults, I've looked at the goofs and haven't noticed them. How he was able to move the camera in and out of the Hall with all the mirrors is a mystery to me. This movie was shot in 70 mil. It's a shame that Columbia hasn't released a Widescreen version of this on VHS. I own a DVD player, and I'd take this over Titanic any day. So Columbia if you're listening put this film out the way it should be watched! And I don't know what happened at the Oscars. This should have swept Best Picture, Best Actor, Best Direction, best cinematography. What films were they watching? I felt sorry for Branagh at the Oscars when he did a tribute to Shakespeare on the screen. They should have been giving a tribute to Branagh for bringing us one of the greatest films of all time.",neutral
"""Problem Child"" is one of the goofiest movies ever made. It's not the worst (though some people will disagree with me on that), but it's not the best either. It's about a devilish 7-year-old boy who wrecks comic havoc on a childless couple (John Ritter, Amy Yasbeck) who foolishly adopts him. This film is too silly and unbelievable because I don't buy for one second that a child could act as unrurly as the kid does in this film. It's asinine and preposterous although I did laugh several times throughout (I really don't know why). But I can't recommend this film. I know I'm being too kind to it. If there is one positive thing about ""Problem Child"" is that it's better than the sequel which was just awful. <br /><br />** (out of four)",biased
"Checking Out will be released Friday September 15th, 2006. through the AMC theater chain starting in New York City. Times Square, 66th and 3rd Ave, West 84th Street. This film has been one from the heart, for the heart. Mark Lane, Jon Karas,Richard Marcus, Jeff Hare, Dana Harrloe,Matt Jensen Ed Abrams, Nick Pike, Peter Falk, Laura San Giacomo, David Paymer, Judge Reinhold, all the cast and crew knew from day one that this film was something special. The need to comfort the elderly is intended, the closeness of family is more apparent now then ever. I would recommend this film to all ages and races. This story rings the truth to anyone with or without family.",neutral
"What more could I say? The Americans totally hated it because the U.S. cut was so bad, although you could detect the underlying goodwill in it.<br /><br />Talking about the U.S. theatrical release(along with the newly released Blu-ray Disc version), it's faster and tighter than HK cut, the background musics were all changed from the dark, grim HK musics to Hip-hop musics; and there were a lot of gruesome scenes cut out. Though, the dubbing was a notable job given that they tried to capture the original actor's voice and tone. But, the problem is Hak Hap(Black Mask) the movie was designed and meant to be dark, grim, super-disturbing and totally gruesome. Very unfortunately the U.S. release just skimmed the cream they wanted, which in return completely changed the movie's undertone(HK release was rated 18+) to be even more comical and amateurish.<br /><br />Now let's talk about the original HK release. This movie is like a hidden gem, a prototype for the whole ""matrix"" tide and era. The fighting scenes are totally awesome even the camera works were a bit ""old-school"" among HK movies. However the style the movie created was a unique blend of Kungfu and pop culture. With all the leather, black costumes and decorations, this movie features a batman-like superhero in a black mask against a run-of-the-mill gang of multinational super-soldiers lead by a punk heavy metal rock star boss. Yes it sounds like imaginations of a retarded child, but it works. It's so impressive that the whole movie's gonna give you nightmares featuring foreigners fighting a bloodbath battle in leather coats. In year 2002 they made a sequel which had a PG-13 rating, but without Jet Li and Liu Qing Yun. And you know how bad that was because Li and Liu were the core characters in the movie and had strong personalities and an interesting friendship. And, did I happen to mention Francois Yip? Her roundhouse kick was totally cool, even cooler than the villain boss because she didn't use a stuntman for all the fighting. Did I mention she was also smoking hot? Anyway, there are a lot of things to like about the movie.<br /><br />However, the movie also suffered from a lot of problems. First off, it's a mediocre script made at its best potential, which means this production team deserved a better screen-writer. There are a lot climaxes in the entire 100 minutes but they often felt like far-fetched and don't totally make senses to the audiences(US version was even worse because all the character developments were cut). Anyway, you can't ask too much out of a comic-inspired action movie. Also, this movie is entirely improper for children. I won't recommend it to you if you are less than 20 years old. It's saturated with disturbing contents including blood, gore, sado-maso costumes, extreme brutal violence and so on. Along with the style of the movie, it can be called a wet dream for heavy-metal rock music fans and action fans. (the U.S. cut was milder, but if you want to see it, see the HK release for what it is.) 7/10. Status: inspiring, hidden, undervalued, adult.",neutral
